Team,P,HW,HD,HL,HF,HA,AW,AD,AL,AF,AA
AFC Bournemouth,7,3,1,0,10,5,1,0,2,2,7
Arsenal,7,3,0,1,7,3,2,0,1,7,6
Brighton & Hove Albion,7,1,1,1,6,6,0,1,3,2,7
Burnley,7,1,0,2,5,5,1,1,2,4,6
Cardiff City,7,0,1,3,3,10,0,1,2,1,6
Chelsea,7,3,1,0,10,4,2,1,0,5,1
Crystal Palace,7,0,1,2,0,4,2,0,2,5,4
Everton,7,2,1,1,7,5,0,2,1,4,6
Fulham,7,1,1,1,5,5,0,1,3,3,11
Huddersfield Town,7,0,1,3,0,6,0,1,2,3,10
Leicester City,7,2,0,1,6,3,2,0,2,7,7
Liverpool,7,3,0,0,8,0,3,1,0,7,3
Manchester City,7,4,0,0,13,2,2,1,0,8,1
Manchester United,7,1,1,1,3,5,2,0,2,7,7
Newcastle United,7,0,0,4,3,8,0,2,1,1,2
Southampton,7,0,2,1,3,4,1,0,3,3,7
Tottenham Hotspur,7,1,0,1,4,3,4,0,1,10,4
Watford,7,3,0,1,7,4,1,1,1,4,4
West Ham United,7,1,1,2,4,4,1,0,2,4,8
Wolverhampton Wanderers,7,2,2,0,6,3,1,1,1,2,3
